["Cycle No.","Cycle time","Low pulse width","High pulse width"],
[63,6.47519981686884E-05,4.79315675320537E-06,5.9958841415483E-05],
[64,6.47547388742892E-05,4.79516000742889E-06,5.99595788668603E-05],
[65,6.47519981686884E-05,4.7936183613039E-06,5.99583798073845E-05],
[66,6.47519981686884E-05,4.79642291275869E-06,5.99555752559297E-05],
[67,6.4755200477907E-05,4.79682067052248E-06,5.99583798073845E-05],
[68,6.47519981686884E-05,4.79388345373021E-06,5.99581147149582E-05],
[69,6.47552004823877E-05,4.79388345373021E-06,5.99613170286575E-05],
[70,6.47533332676425E-05,4.79402008536287E-06,5.99593131822796E-05],
[71,6.47519981686884E-05,4.79268498640873E-06,5.99593131822796E-05],
[72,6.47519981686884E-05,4.79548209970492E-06,5.99565160689835E-05],
[73,6.47529516153529E-05,4.79668498699036E-06,5.99562666283625E-05],
[74,6.47542785789639E-05,4.79772287861543E-06,5.99565557003485E-05],
[75,6.4754092032277E-05,4.79544246833989E-06,5.99586495639371E-05],
[76,6.47521900202343E-05,4.79535185897439E-06,5.99568381612599E-05],
[77,6.47547388742892E-05,4.79516000742846E-06,5.99595788668607E-05],
[78,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[79,6.47523959264517E-05,4.79361836130347E-06,5.99587775651483E-05],
[80,6.4754802720144E-05,4.79642291275912E-06,5.99583798073849E-05],
[81,6.47519981686884E-05,4.79388345372977E-06,5.99581147149586E-05],
[82,6.47552004823873E-05,4.7972223990618E-06,5.99579780833255E-05],
[83,6.47519981686884E-05,4.79402008536287E-06,5.99579780833255E-05],
[84,6.47533332676425E-05,4.79315675320537E-06,5.99601765144371E-05],
[85,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[86,6.47519981686884E-05,4.79402393429619E-06,5.99579742343922E-05],
[87,6.47525709729342E-05,4.79601527258577E-06,5.99565557003485E-05],
[88,6.4754092032277E-05,4.79544246833989E-06,5.99586495639371E-05],
[89,6.47549307258351E-05,4.79655091845024E-06,5.99583798073849E-05],
[90,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[91,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[92,6.47552004779074E-05,4.79361836130347E-06,5.99615821166039E-05],
[93,6.47538673097022E-05,4.79361836130347E-06,5.99602489483987E-05],
[94,6.47501290276745E-05,4.79174922028962E-06,5.99583798073849E-05],
[95,6.47538673097022E-05,4.7972223990618E-06,5.99566449106404E-05],
[96,6.47546664403276E-05,4.79535325804796E-06,5.99593131822796E-05],
[97,6.47519981686884E-05,4.79548209970492E-06,5.99565160689835E-05],
[98,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[99,6.47525709729342E-05,4.79402393429619E-06,5.99585470386381E-05],
[100,6.4754092032277E-05,4.79345113005031E-06,5.99606409022267E-05],
[101,6.47519981686884E-05,4.79535185897439E-06,5.9956646309714E-05],
[102,6.47521900202343E-05,4.79535185897439E-06,5.99568381612599E-05],
[103,6.47547388742892E-05,4.7963590669043E-06,5.99583798073849E-05],
[104,6.47519981686884E-05,4.79682067052248E-06,5.99551774981659E-05],
[105,6.47552004779074E-05,4.79682067052248E-06,5.99583798073849E-05],
[106,6.47538673097022E-05,4.79361836130347E-06,5.99602489483987E-05],
[107,6.47546664403276E-05,4.79201431271593E-06,5.99626521276117E-05],
[108,6.47519981686884E-05,4.7893460410767E-06,5.99626521276117E-05],
[109,6.47506630697342E-05,4.79268498640873E-06,5.99579780833255E-05],
[110,6.47533332676425E-05,4.79802008594449E-06,5.9955313181698E-05],
[111,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[112,6.47525709729342E-05,4.79402393429619E-06,5.99585470386381E-05],
[113,6.4754092032277E-05,4.79544246833989E-06,5.99586495639371E-05],
[114,6.47521900202343E-05,4.79535185897439E-06,5.99568381612599E-05],
[115,6.47547388742892E-05,4.79516000742846E-06,5.99595788668607E-05],
[116,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[117,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[118,6.47552004779074E-05,4.79682067052248E-06,5.99583798073849E-05],
[119,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[120,6.47552004823873E-05,4.79388345372977E-06,5.99613170286575E-05],
[121,6.47533332676425E-05,4.79402008536287E-06,5.99593131822796E-05],
[122,6.47519981686884E-05,4.79268498640873E-06,5.99593131822796E-05],
[123,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[124,6.47519981686884E-05,4.79402393429619E-06,5.99579742343922E-05],
[125,6.47525709729342E-05,4.79601527258577E-06,5.99565557003485E-05],
[126,6.47542838838229E-05,4.79544246833989E-06,5.9958841415483E-05],
[127,6.47519981686884E-05,4.79516000742846E-06,5.99568381612599E-05],
[128,6.47547388742892E-05,4.7963590669043E-06,5.99583798073849E-05],
[129,6.47519981686884E-05,4.79361836130347E-06,5.99583798073849E-05],
[130,6.47552004779065E-05,4.79682067052248E-06,5.9958379807384E-05],
[131,6.47511990374376E-05,4.79361836130433E-06,5.99575806761333E-05],
[132,6.4754666440953E-05,4.79468258498053E-06,5.99599838559724E-05],
[133,6.47533313413735E-05,4.79220362511329E-06,5.99611277162602E-05],
[134,6.47533332676434E-05,4.7940200853646E-06,5.99593131822788E-05],
[135,6.47546592213825E-05,4.7926849864096E-06,5.99619742349729E-05],
[136,6.47493371159942E-05,4.79002393371543E-06,5.99593131822788E-05],
[137,6.4757325889217E-05,4.79668498699036E-06,5.99606409022267E-05],
[138,6.47493315008539E-05,4.79334860475217E-06,5.99559828961017E-05],
[139,6.47548566880696E-05,4.79801852680886E-06,5.99568381612608E-05],
[140,6.47519981686884E-05,4.7963590669043E-06,5.99556391017841E-05],
[141,6.47547388742883E-05,4.7963590669043E-06,5.9958379807384E-05],
[142,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[143,6.47519981686884E-05,4.79441749255509E-06,5.99575806761333E-05],
[144,6.47570696189204E-05,4.79682067052248E-06,5.99602489483979E-05],
[145,6.47501290276745E-05,4.79535325804969E-06,5.99547757696248E-05],
[146,6.47538673097022E-05,4.79722239906354E-06,5.99566449106387E-05],
[147,6.47546664403285E-05,4.79535325804969E-06,5.99593131822788E-05],
[148,6.47519981686884E-05,4.79548209970405E-06,5.99565160689843E-05],
[149,6.47546592213825E-05,4.79548209970405E-06,5.99591771216785E-05],
[150,6.47525709729334E-05,4.79402393429619E-06,5.99585470386372E-05],
[151,6.47519981686884E-05,4.79345113005118E-06,5.99585470386372E-05],
[152,6.47519981686884E-05,4.79544246834163E-06,5.99565557003467E-05],
[153,6.47542838838246E-05,4.79864478204056E-06,5.99556391017841E-05],
[154,6.47544737818629E-05,4.7963590669043E-06,5.99581147149586E-05],
[155,6.47522632611138E-05,4.79668800518369E-06,5.99555752559301E-05],
[156,6.47552004779065E-05,4.79642291275825E-06,5.99587775651483E-05],
[157,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[158,6.47538673097022E-05,4.79722239906354E-06,5.99566449106387E-05],
[159,6.47533313413735E-05,4.79535325804969E-06,5.99579780833238E-05],
[160,6.47533332676434E-05,4.7940200853646E-06,5.99593131822788E-05],
[161,6.47519981686884E-05,4.7926849864096E-06,5.99593131822788E-05],
[162,6.47546592213825E-05,4.79548209970405E-06,5.99591771216785E-05],
[163,6.47525709729334E-05,4.79402393429619E-06,5.99585470386372E-05],
[164,6.47542838838246E-05,4.79345113005118E-06,5.99608327537735E-05],
[165,6.47521420573307E-05,4.79516000742759E-06,5.99569820499031E-05],
[166,6.47519981686884E-05,4.79501611878527E-06,5.99569820499031E-05],
[167,6.4754594985646E-05,4.79621517826198E-06,5.9958379807384E-05],
[168,6.47519981686884E-05,4.79682067052248E-06,5.99551774981659E-05],
[169,6.47552004779065E-05,4.79708576294792E-06,5.99581147149586E-05],
[170,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[171,6.47565355813423E-05,4.79722239906354E-06,5.99593131822788E-05],
[172,6.47519981686884E-05,4.7926849864096E-06,5.99593131822788E-05],
[173,6.47519981686884E-05,4.7926849864096E-06,5.99593131822788E-05],
[174,6.47519981686884E-05,4.79548209970405E-06,5.99565160689843E-05],
